sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP
2,12,12,10,1,10,1,14,140,0
1,13,12,10,1,10,1,14,140,0
2,13,12,11,1,10,1,14,154,0
1,14,12,7,1,10,1,14,98,0
2,14,12,12,1,10,1,14,168,0
1,15,12,9,1,10,1,14,126,0
2,15,12,10,1,10,1,14,140,0
1,10,13,13,1,10,1,14,182,0
2,10,13,4,1,10,1,14,56,0
1,11,13,8,1,10,1,14,112,0
2,11,13,10,1,10,1,14,140,0
1,12,13,7,1,10,1,14,98,0
2,12,13,6,1,10,1,14,84,0
1,13,13,13,1,10,1,14,182,0
2,13,13,8,1,10,1,14,112,0
1,14,13,6,1,10,1,14,84,0
2,14,13,7,1,10,1,14,98,0
1,15,13,6,1,10,1,14,84,0
2,15,13,9,1,10,1,14,126,0
1,10,14,8,1,10,1,14,112,0
2,10,14,7,1,10,1,14,98,0
1,11,14,3,1,10,1,14,42,0
2,11,14,11,1,10,1,14,154,0
1,12,14,4,1,10,1,14,56,0
2,12,14,8,1,10,1,14,112,0
1,13,14,8,1,10,1,14,112,0
2,13,14,7,1,10,1,14,98,0
1,14,14,3,1,10,1,14,42,0
2,14,14,5,1,10,1,14,70,0
1,15,14,8,1,10,1,14,112,0
2,15,14,7,1,10,1,14,98,0
1,10,15,0,1,10,1,14,0,0
2,10,15,7,1,10,1,14,98,0
1,11,15,4,1,10,1,14,56,0
2,11,15,6,1,10,1,14,84,1
1,12,15,1,1,10,1,14,14,0
2,12,15,5,1,10,1,14,70,0
1,13,15,0,1,10,1,14,0,0
2,13,15,2,1,10,1,14,28,0
1,14,15,0,1,10,1,14,0,0
2,14,15,3,1,10,1,14,42,0
1,15,15,0,1,10,1,14,0,0
2,15,15,7,1,10,1,14,98,0
1,10,16,0,1,10,1,14,0,0
2,10,16,5,1,10,1,14,70,0
1,11,16,2,1,10,1,14,28,0
2,11,16,8,1,10,1,14,112,0
1,12,16,0,1,10,1,14,0,0
2,12,16,5,1,10,1,14,70,0
1,13,16,0,1,10,1,14,0,0
2,13,16,4,1,10,1,14,56,0
1,14,16,2,1,10,1,14,28,0
2,14,16,3,1,10,1,14,42,0
1,15,16,2,1,10,1,14,28,0
2,15,16,4,1,10,1,14,56,0
1,10,17,0,1,10,1,14,0,0
2,10,17,7,1,10,1,14,98,0
1,11,17,1,1,10,1,14,14,0
2,11,17,5,1,10,1,14,70,0
1,12,17,1,1,10,1,14,14,0
2,12,17,2,1,10,1,14,28,0
1,13,17,0,1,10,1,14,0,0
2,13,17,3,1,10,1,14,42,0
1,14,17,0,1,10,1,14,0,0
2,14,17,1,1,10,1,14,14,0
1,15,17,0,1,10,1,14,0,0
2,15,17,6,1,10,1,14,84,0
1,10,18,1,1,10,1,14,14,0
2,10,18,4,1,10,1,14,56,0
1,11,18,1,1,10,1,14,14,0
2,11,18,2,1,10,1,14,28,0
1,12,18,0,1,10,1,14,0,0
2,12,18,4,1,10,1,14,56,0
1,13,18,0,1,10,1,14,0,0
2,13,18,4,1,10,1,14,56,0
1,14,18,0,1,10,1,14,0,0
2,14,18,2,1,10,1,14,28,0
1,15,18,0,1,10,1,14,0,0
2,15,18,0,1,10,1,14,0,0
1,10,19,0,1,10,1,14,0,0
2,10,19,1,1,10,1,14,14,0
1,11,19,0,1,10,1,14,0,0
2,11,19,4,1,10,1,14,56,0
1,12,19,0,1,10,1,14,0,0
2,12,19,3,1,10,1,14,42,0
1,13,19,0,1,10,1,14,0,0
2,13,19,1,1,10,1,14,14,0
1,14,19,0,1,10,1,14,0,0
2,14,19,1,1,10,1,14,14,0
1,15,19,0,1,10,1,14,0,0
2,15,19,1,1,10,1,14,14,0
1,10,20,0,1,10,1,14,0,0
2,10,20,1,1,10,1,14,14,0
1,11,20,1,1,10,1,14,14,0
2,11,20,1,1,10,1,14,14,0
1,12,20,0,1,10,1,14,0,0
2,12,20,1,1,10,1,14,14,0
1,13,20,0,1,10,1,14,0,0
2,13,20,0,1,10,1,14,0,0
1,14,20,0,1,10,1,14,0,0
2,14,20,0,1,10,1,14,0,0
1,15,20,0,1,10,1,14,0,0
2,15,20,0,1,10,1,14,0,0
1,10,21,0,1,10,1,14,0,0
2,10,21,1,1,10,1,14,14,0
1,11,21,0,1,10,1,14,0,0
2,11,21,0,1,10,1,14,0,0
1,12,21,0,1,10,1,14,0,0
2,12,21,2,1,10,1,14,28,0
1,13,21,0,1,10,1,14,0,0
2,13,21,1,1,10,1,14,14,0
1,14,21,0,1,10,1,14,0,0
2,14,21,0,1,10,1,14,0,0
1,15,21,0,1,10,1,14,0,0
2,15,21,0,1,10,1,14,0,0
1,10,22,0,1,10,1,14,0,0
2,10,22,2,1,10,1,14,28,0
1,11,22,0,1,10,1,14,0,0
2,11,22,0,1,10,1,14,0,0
1,12,22,0,1,10,1,14,0,0
2,12,22,0,1,10,1,14,0,0
1,13,22,0,1,10,1,14,0,0
2,13,22,0,1,10,1,14,0,0
1,14,22,0,1,10,1,14,0,0
2,14,22,0,1,10,1,14,0,0
1,15,22,0,1,10,1,14,0,0
2,15,22,0,1,10,1,14,0,0
1,10,1,14,2,10,1,15,210,0
2,10,1,15,2,10,1,15,105,0
1,11,1,11,2,10,1,15,165,0
2,11,1,15,2,10,1,15,225,0
1,12,1,10,2,10,1,15,150,0
2,12,1,19,2,10,1,15,285,0
1,13,1,11,2,10,1,15,165,0
2,13,1,11,2,10,1,15,165,0
1,14,1,11,2,10,1,15,165,0
2,14,1,11,2,10,1,15,165,0
1,15,1,10,2,10,1,15,150,0
2,15,1,14,2,10,1,15,210,0
1,10,2,12,2,10,1,15,180,0
2,10,2,11,2,10,1,15,165,0
1,11,2,15,2,10,1,15,225,0
2,11,2,14,2,10,1,15,210,0
1,12,2,14,2,10,1,15,210,0
2,12,2,10,2,10,1,15,150,0
1,13,2,10,2,10,1,15,150,0
2,13,2,14,2,10,1,15,210,0
1,14,2,17,2,10,1,15,255,0
2,14,2,20,2,10,1,15,300,0
1,15,2,13,2,10,1,15,195,0
