sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP,SOPs
1,12,11,14,1,10,1,11,154,0,0
2,12,11,11,1,10,1,11,121,0,0
1,13,11,15,1,10,1,11,165,0,0
2,13,11,7,1,10,1,11,77,0,0
1,14,11,6,1,10,1,11,66,0,0
2,14,11,10,1,10,1,11,110,0,0
1,15,11,12,1,10,1,11,132,0,0
2,15,11,10,1,10,1,11,110,0,0
1,10,12,11,1,10,1,11,121,0,0
2,10,12,7,1,10,1,11,77,0,0
1,11,12,11,1,10,1,11,121,0,0
2,11,12,9,1,10,1,11,99,0,0
1,12,12,11,1,10,1,11,121,0,0
2,12,12,6,1,10,1,11,66,0,0
1,13,12,12,1,10,1,11,132,0,0
2,13,12,7,1,10,1,11,77,0,0
1,14,12,7,1,10,1,11,77,0,0
2,14,12,4,1,10,1,11,44,0,0
1,15,12,12,1,10,1,11,132,0,0
2,15,12,12,1,10,1,11,132,0,0
1,10,13,9,1,10,1,11,99,0,0
2,10,13,8,1,10,1,11,88,0,0
1,11,13,8,1,10,1,11,88,0,0
2,11,13,9,1,10,1,11,99,0,0
1,12,13,8,1,10,1,11,88,0,0
2,12,13,11,1,10,1,11,121,0,0
1,13,13,2,1,10,1,11,22,0,0
2,13,13,9,1,10,1,11,99,0,0
1,14,13,8,1,10,1,11,88,0,0
2,14,13,8,1,10,1,11,88,0,0
1,15,13,6,1,10,1,11,66,0,0
2,15,13,8,1,10,1,11,88,0,0
1,10,14,7,1,10,1,11,77,0,0
2,10,14,7,1,10,1,11,77,0,0
1,11,14,4,1,10,1,11,44,0,0
2,11,14,8,1,10,1,11,88,0,0
1,12,14,4,1,10,1,11,44,0,0
2,12,14,9,1,10,1,11,99,0,1
1,13,14,2,1,10,1,11,22,0,0
2,13,14,3,1,10,1,11,33,0,0
1,14,14,2,1,10,1,11,22,0,0
2,14,14,3,1,10,1,11,33,0,0
1,15,14,7,1,10,1,11,77,0,0
2,15,14,7,1,10,1,11,77,0,0
1,10,15,2,1,10,1,11,22,0,0
2,10,15,5,1,10,1,11,55,0,0
1,11,15,2,1,10,1,11,22,0,0
2,11,15,7,1,10,1,11,77,0,0
1,12,15,3,1,10,1,11,33,0,0
2,12,15,4,1,10,1,11,44,0,0
1,13,15,3,1,10,1,11,33,0,0
2,13,15,5,1,10,1,11,55,0,0
1,14,15,5,1,10,1,11,55,0,0
2,14,15,3,1,10,1,11,33,0,0
1,15,15,5,1,10,1,11,55,0,0
2,15,15,7,1,10,1,11,77,0,0
1,10,16,4,1,10,1,11,44,0,0
2,10,16,6,1,10,1,11,66,0,0
1,11,16,0,1,10,1,11,0,0,0
2,11,16,6,1,10,1,11,66,0,0
1,12,16,0,1,10,1,11,0,0,0
2,12,16,9,1,10,1,11,99,0,0
1,13,16,1,1,10,1,11,11,0,0
2,13,16,3,1,10,1,11,33,0,0
1,14,16,0,1,10,1,11,0,0,0
2,14,16,6,1,10,1,11,66,0,0
1,15,16,1,1,10,1,11,11,0,0
2,15,16,4,1,10,1,11,44,0,0
1,10,17,0,1,10,1,11,0,0,0
2,10,17,4,1,10,1,11,44,0,0
1,11,17,1,1,10,1,11,11,0,0
2,11,17,4,1,10,1,11,44,0,0
1,12,17,0,1,10,1,11,0,0,0
2,12,17,3,1,10,1,11,33,0,0
1,13,17,0,1,10,1,11,0,0,0
2,13,17,1,1,10,1,11,11,0,0
1,14,17,1,1,10,1,11,11,0,0
2,14,17,0,1,10,1,11,0,0,0
1,15,17,0,1,10,1,11,0,0,0
2,15,17,2,1,10,1,11,22,0,0
1,10,18,0,1,10,1,11,0,0,0
2,10,18,4,1,10,1,11,44,0,0
1,11,18,0,1,10,1,11,0,0,0
2,11,18,7,1,10,1,11,77,0,0
1,12,18,0,1,10,1,11,0,0,0
2,12,18,2,1,10,1,11,22,0,0
1,13,18,0,1,10,1,11,0,0,0
2,13,18,3,1,10,1,11,33,0,0
1,14,18,0,1,10,1,11,0,0,0
2,14,18,1,1,10,1,11,11,0,0
1,15,18,0,1,10,1,11,0,0,0
2,15,18,4,1,10,1,11,44,0,0
1,10,19,0,1,10,1,11,0,0,0
2,10,19,1,1,10,1,11,11,0,0
1,11,19,0,1,10,1,11,0,0,0
2,11,19,4,1,10,1,11,44,0,0
1,12,19,0,1,10,1,11,0,0,0
2,12,19,0,1,10,1,11,0,0,0
1,13,19,0,1,10,1,11,0,0,0
2,13,19,2,1,10,1,11,22,0,0
1,14,19,0,1,10,1,11,0,0,0
2,14,19,1,1,10,1,11,11,0,0
1,15,19,0,1,10,1,11,0,0,0
2,15,19,2,1,10,1,11,22,0,0
1,10,20,0,1,10,1,11,0,0,0
2,10,20,3,1,10,1,11,33,0,0
1,11,20,0,1,10,1,11,0,0,0
2,11,20,0,1,10,1,11,0,0,0
1,12,20,0,1,10,1,11,0,0,0
2,12,20,3,1,10,1,11,33,0,0
1,13,20,0,1,10,1,11,0,0,0
2,13,20,2,1,10,1,11,22,0,0
1,14,20,0,1,10,1,11,0,0,0
2,14,20,3,1,10,1,11,33,0,0
1,15,20,0,1,10,1,11,0,0,0
2,15,20,0,1,10,1,11,0,0,0
1,10,21,0,1,10,1,11,0,0,0
2,10,21,1,1,10,1,11,11,0,0
1,11,21,0,1,10,1,11,0,0,0
2,11,21,1,1,10,1,11,11,0,0
1,12,21,0,1,10,1,11,0,0,0
2,12,21,1,1,10,1,11,11,0,0
1,13,21,0,1,10,1,11,0,0,0
2,13,21,1,1,10,1,11,11,0,0
1,14,21,0,1,10,1,11,0,0,0
2,14,21,0,1,10,1,11,0,0,0
1,15,21,0,1,10,1,11,0,0,0
2,15,21,1,1,10,1,11,11,0,0
1,10,22,0,1,10,1,11,0,0,0
2,10,22,0,1,10,1,11,0,0,0
1,11,22,0,1,10,1,11,0,0,0
2,11,22,0,1,10,1,11,0,0,0
1,12,22,0,1,10,1,11,0,0,0
2,12,22,0,1,10,1,11,0,0,0
1,13,22,0,1,10,1,11,0,0,0
2,13,22,0,1,10,1,11,0,0,0
1,14,22,0,1,10,1,11,0,0,0
2,14,22,0,1,10,1,11,0,0,0
1,15,22,0,1,10,1,11,0,0,0
2,15,22,0,1,10,1,11,0,0,0
1,10,1,11,2,10,1,16,176,0,0
2,10,1,16,2,10,1,16,120,0,0
1,11,1,13,2,10,1,16,208,0,0
2,11,1,12,2,10,1,16,192,0,0
1,12,1,9,2,10,1,16,144,0,0
2,12,1,16,2,10,1,16,256,0,0
1,13,1,8,2,10,1,16,128,0,0
2,13,1,12,2,10,1,16,192,0,0
1,14,1,15,2,10,1,16,240,0,0
2,14,1,21,2,10,1,16,336,0,0
1,15,1,16,2,10,1,16,256,0,0
2,15,1,18,2,10,1,16,288,0,0
1,10,2,13,2,10,1,16,208,0,0
2,10,2,9,2,10,1,16,144,0,0
1,11,2,15,2,10,1,16,240,0,0
2,11,2,17,2,10,1,16,272,0,0
1,12,2,14,2,10,1,16,224,0,0
2,12,2,16,2,10,1,16,256,0,0
