sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP,SOPs
1,10,1,42,1,10,1,42,861,0,0
2,10,1,26,1,10,1,42,1092,0,0
1,11,1,32,1,10,1,42,1344,0,0
2,11,1,33,1,10,1,42,1386,0,0
1,12,1,34,1,10,1,42,1428,0,0
2,12,1,25,1,10,1,42,1050,0,1
1,13,1,25,1,10,1,42,1050,0,0
2,13,1,33,1,10,1,42,1386,0,0
1,14,1,27,1,10,1,42,1134,0,0
2,14,1,41,1,10,1,42,1722,0,0
1,15,1,26,1,10,1,42,1092,0,0
2,15,1,31,1,10,1,42,1302,0,0
1,10,2,30,1,10,1,42,1260,0,0
2,10,2,33,1,10,1,42,1386,0,0
1,11,2,35,1,10,1,42,1470,0,0
2,11,2,43,1,10,1,42,1806,0,0
1,12,2,31,1,10,1,42,1302,0,0
2,12,2,41,1,10,1,42,1722,0,1
1,13,2,30,1,10,1,42,1260,0,0
2,13,2,43,1,10,1,42,1806,0,0
1,14,2,24,1,10,1,42,1008,0,0
2,14,2,22,1,10,1,42,924,0,0
1,15,2,29,1,10,1,42,1218,0,0
2,15,2,34,1,10,1,42,1428,0,0
1,10,3,24,1,10,1,42,1008,0,0
2,10,3,27,1,10,1,42,1134,0,0
1,11,3,29,1,10,1,42,1218,0,0
2,11,3,29,1,10,1,42,1218,0,1
1,12,3,29,1,10,1,42,1218,0,0
2,12,3,27,1,10,1,42,1134,0,0
1,13,3,29,1,10,1,42,1218,0,1
2,13,3,38,1,10,1,42,1596,0,0
1,14,3,37,1,10,1,42,1554,0,0
2,14,3,37,1,10,1,42,1554,0,0
1,15,3,15,1,10,1,42,630,0,0
2,15,3,19,1,10,1,42,798,0,0
1,10,4,35,1,10,1,42,1470,0,0
2,10,4,26,1,10,1,42,1092,0,0
1,11,4,25,1,10,1,42,1050,0,0
2,11,4,22,1,10,1,42,924,0,0
1,12,4,31,1,10,1,42,1302,0,0
2,12,4,24,1,10,1,42,1008,0,0
1,13,4,27,1,10,1,42,1134,0,0
2,13,4,42,1,10,1,42,1764,0,0
1,14,4,41,1,10,1,42,1722,0,0
2,14,4,44,1,10,1,42,1848,0,0
1,15,4,30,1,10,1,42,1260,0,0
2,15,4,33,1,10,1,42,1386,0,1
1,10,5,22,1,10,1,42,924,0,0
2,10,5,40,1,10,1,42,1680,0,0
1,11,5,30,1,10,1,42,1260,0,0
2,11,5,31,1,10,1,42,1302,0,0
1,12,5,29,1,10,1,42,1218,0,0
2,12,5,25,1,10,1,42,1050,0,0
1,13,5,39,1,10,1,42,1638,0,0
2,13,5,37,1,10,1,42,1554,0,0
