AgeClass	sex	pred	sd
0	1	-9.34226601407739	0.311244868147975
1	1	8.24961759437651	0.310027021893635
2	1	25.8415012028304	0.308809175639295
3	1	42.3081356004997	0.307591329384956
4	1	56.6362996178644	0.306373483130616
5	1	68.9940353168215	0.305155636876276
6	1	79.5493847592683	0.303937790621936
7	1	88.4703900071016	0.302719944367597
8	1	95.9250931222186	0.301502098113257
9	1	102.081536166516	0.300284251858917
10	1	107.107761201892	0.299066405604577
11	1	111.171810290242	0.297848559350238
12	1	114.441725493464	0.296630713095898
13	1	117.085548873456	0.295412866841558
14	1	119.271322492113	0.294195020587218
15	1	121.164726495275	0.292977174332879
16	1	122.891768219983	0.291759328078539
17	1	124.545535798214	0.290541481824199
18	1	126.218120928606	0.289323635569859
19	1	127.999700979206	0.28810578931552
20	1	129.917209507367	0.28688794306118
21	1	131.921361352406	0.28567009680684
22	1	133.958333681121	0.2844522505525
23	1	135.974541798681	0.283234404298161
24	1	137.937148815709	0.282016558043821
25	1	139.849872082565	0.280798711789481
26	1	141.720149861639	0.279580865535141
27	1	143.555419883786	0.278363019280802
28	1	145.36284986297	0.277145173026462
29	1	147.148898984567	0.275927326772122
30	1	148.91991162362	0.274709480517782
31	1	150.682232155172	0.273491634263443
32	1	152.442321424655	0.272273788009103
33	1	154.202410694137	0.271055941754763
34	1	155.96249996362	0.269838095500423
35	1	157.722589233103	0.268620249246084
36	1	159.482678502586	0.267402402991744
37	1	161.242767772069	0.266184556737404
38	1	163.002857041551	0.264966710483064
39	1	164.762946311034	0.263748864228725
40	1	166.523035580517	0.262531017974385
41	1	168.28312485	0.261313171720045
42	1	170.043214119482	0.260095325465705
43	1	171.803303388965	0.258877479211366
44	1	173.563392658448	0.257659632957026
45	1	175.323481927931	0.256441786702686
46	1	177.083571197414	0.255223940448346
47	1	178.843660466896	0.254006094194007
48	1	180.603749736379	0.252788247939667
49	1	182.363839005862	0.251570401685327
50	1	184.123928275345	0.250352555430987
51	1	185.884017544828	0.249134709176648
52	1	187.64410681431	0.247916862922308
53	1	189.404196083793	0.246699016667968
54	1	191.164285353276	0.245481170413628
55	1	192.924374622759	0.244263324159288
56	1	194.684463892241	0.243045477904949
57	1	196.444553161724	0.241827631650609
58	1	198.204642431207	0.240609785396269
59	1	199.96473170069	0.239391939141929
60	1	201.724820970173	0.23817409288759
61	1	203.484910239655	0.23695624663325
62	1	205.244999509138	0.23573840037891
63	1	207.005088778621	0.23452055412457
64	1	208.765178048104	0.233302707870231
65	1	210.525267317587	0.232084861615891
66	1	212.285356587069	0.230867015361551
67	1	214.045445856552	0.229649169107211
68	1	215.805535126035	0.228431322852872
69	1	217.565624395518	0.227213476598532
70	1	219.325713665	0.225995630344192
71	1	221.085802934483	0.224777784089852
72	1	222.845892203966	0.223559937835513
73	1	224.605981473449	0.222342091581173
74	1	226.366070742932	0.221124245326833
75	1	228.126160012414	0.219906399072493
76	1	229.886249281897	0.218688552818154
77	1	231.64633855138	0.217470706563814
78	1	233.406427820863	0.216252860309474
79	1	235.166517090345	0.215035014055134
80	1	236.926606359828	0.213817167800795
81	1	238.686695629311	0.212599321546455
82	1	240.446784898794	0.211381475292115
83	1	242.206874168277	0.210163629037775
84	1	243.966963437759	0.208945782783436
85	1	245.727052707242	0.207727936529096
86	1	247.487141976725	0.206510090274756
87	1	249.247231246208	0.205292244020416
88	1	251.007320515691	0.204074397766077
89	1	252.767409785173	0.202856551511737
90	1	254.527499054656	0.201638705257397
91	1	256.287588324139	0.200420859003057
92	1	258.047677593622	0.199203012748718
93	1	259.807766863104	0.197985166494378
94	1	261.567856132587	0.196767320240038
95	1	263.32794540207	0.195549473985698
96	1	265.088034671553	0.194331627731359
97	1	266.848123941036	0.193113781477019
98	1	268.608213210518	0.191895935222679
99	1	270.368302480001	0.190678088968339
100	1	272.128391749484	0.189460242714
101	1	273.888481018967	0.18824239645966
102	1	275.648570288449	0.18702455020532
103	1	277.408659557932	0.18580670395098
104	1	279.168748827415	0.184588857696641
105	1	280.928838096898	0.183371011442301
106	1	282.68892736638	0.182153165187961
107	1	284.449016635864	0.180935318933621
108	1	286.209105905346	0.179717472679282
109	1	287.969195174829	0.178499626424942
110	1	289.729284444312	0.177281780170602
111	1	291.489373713794	0.176063933916262
112	1	293.249462983277	0.174846087661923
113	1	295.00955225276	0.173628241407583
114	1	296.769641522243	0.172410395153243
115	1	298.529730791726	0.171192548898903
116	1	300.289820061208	0.169974702644563
117	1	302.049909330691	0.168756856390224
118	1	303.809998600174	0.167539010135884
119	1	305.570087869657	0.166321163881544
120	1	307.33017713914	0.165103317627204
121	1	309.090266408623	0.163885471372865
122	1	310.850355678105	0.162667625118525
123	1	312.610444947588	0.161449778864185
124	1	314.370534217071	0.160231932609845
125	1	316.130623486553	0.159014086355506
126	1	317.890712756036	0.157796240101166
127	1	319.650802025519	0.156578393846826
128	1	321.410891295002	0.155360547592486
129	1	323.170980564485	0.154142701338147
130	1	324.931069833967	0.152924855083807
131	1	326.69115910345	0.151707008829467
132	1	328.451248372933	0.150489162575127
133	1	330.211337642416	0.149271316320788
134	1	331.971426911899	0.148053470066448
135	1	333.731516181381	0.146835623812108
136	1	335.491605450864	0.145617777557768
137	1	337.251694720347	0.144399931303429
138	1	339.01178398983	0.143182085049089
139	1	340.771873259313	0.141964238794749
140	1	342.531962528795	0.140746392540409
141	1	344.292051798278	0.13952854628607
142	1	346.052141067761	0.13831070003173
143	1	347.812230337244	0.13709285377739
144	1	349.572319606726	0.13587500752305
145	1	351.332408876209	0.134657161268711
